"plot","year","from","to","from.daynr","to.daynr","biomass","potID","E","N","location.type","mean.daynr"
"POM1",1997,"28-06","03-07",179,184,25.2,220,7.239916,50.170619,"3",181.5
"POM1",1997,"04-07","10-07",185,191,28.1,221,7.239916,50.170619,"3",188
"POM1",1997,"11-07","17-07",192,198,41.9,222,7.239916,50.170619,"3",195
"POM1",1997,"18-07","24-07",199,205,74.1,223,7.239916,50.170619,"3",202
"POM1",1997,"25-07","31-07",206,212,77.3,224,7.239916,50.170619,"3",209
"POM1",1997,"01-08","07-08",213,219,42.8,225,7.239916,50.170619,"3",216
"POM1",1997,"08-08","14-08",220,226,20.4,226,7.239916,50.170619,"3",223
"POM1",1997,"15-08","21-08",227,233,14.5,227,7.239916,50.170619,"3",230
"POM1",1997,"22-08","29-08",234,241,13.7,228,7.239916,50.170619,"3",237.5
"POM1",1997,"30-08","11-09",242,254,20.6,229,7.239916,50.170619,"3",248
"POM1",1997,"12-09","25-09",255,268,27,230,7.239916,50.170619,"3",261.5
"POM1",1997,"26-09","10-10",269,283,7.4,231,7.239916,50.170619,"3",276
"LAT3",2000,"24-04","29-04",114,119,33.1,232,6.65202,51.313731,"2",116.5
"LAT3",2000,"30-04","06-05",120,126,46.2,233,6.65202,51.313731,"2",123
"LAT3",2000,"07-05","13-05",127,133,65.9,234,6.65202,51.313731,"2",130
"LAT3",2000,"14-05","20-05",134,140,36.4,235,6.65202,51.313731,"2",137
"LAT3",2000,"21-05","27-05",141,147,27.7,236,6.65202,51.313731,"2",144
"LAT3",2000,"28-05","03-06",148,154,28.7,237,6.65202,51.313731,"2",151
"LAT3",2000,"04-06","10-06",155,161,51.2,238,6.65202,51.313731,"2",158
"LAT3",2000,"11-06","17-06",162,168,54.7,239,6.65202,51.313731,"2",165
"LAT3",2000,"18-06","24-06",169,175,85.6,240,6.65202,51.313731,"2",172
"LAT3",2000,"25-06","01-07",176,182,37.2,241,6.65202,51.313731,"2",179
"LAT3",2000,"02-07","08-07",183,189,39.5,242,6.65202,51.313731,"2",186
"LAT3",2000,"09-07","15-07",190,196,19.9,243,6.65202,51.313731,"2",193
"LAT3",2000,"16-07","22-07",197,203,27.8,244,6.65202,51.313731,"2",200
"LAT3",2000,"23-07","29-07",204,210,31.3,245,6.65202,51.313731,"2",207
"LAT3",2000,"30-07","05-08",211,217,18.9,246,6.65202,51.313731,"2",214
"LAT3",2000,"06-08","12-08",218,224,18.7,247,6.65202,51.313731,"2",221
"LAT3",2000,"13-08","19-08",225,231,17.2,248,6.65202,51.313731,"2",228
"LAT3",2000,"20-08","26-08",232,238,24,249,6.65202,51.313731,"2",235
"LAT3",2000,"27-08","02-09",239,245,13.6,250,6.65202,51.313731,"2",242
"LAT3",2000,"03-09","09-09",246,252,12.6,251,6.65202,51.313731,"2",249
"LAT3",2000,"10-09","16-09",253,259,8.1,252,6.65202,51.313731,"2",256
"LAT3",2000,"17-09","23-09",260,266,7.3,253,6.65202,51.313731,"2",263
"LAT3",2000,"24-09","30-09",267,273,6.7,254,6.65202,51.313731,"2",270
"LAT3",2000,"01-10","07-10",274,280,4.2,255,6.65202,51.313731,"2",277
"LAT3",2000,"08-10","14-10",281,287,4.9,256,6.65202,51.313731,"2",284
"LAT3",2000,"15-10","22-10",288,295,3.7,257,6.65202,51.313731,"2",291.5
"SPE2",2003,"30-03","05-04",89,95,0.8,258,6.719362,51.326078,"2",92
"SPE2",2003,"06-04","12-04",96,102,4.1,259,6.719362,51.326078,"2",99
"SPE2",2003,"13-04","19-04",103,109,14.4,260,6.719362,51.326078,"2",106
"SPE2",2003,"20-04","26-04",110,116,19.2,261,6.719362,51.326078,"2",113
"SPE2",2003,"27-04","03-05",117,123,17.6,262,6.719362,51.326078,"2",120
"SPE2",2003,"04-05","10-05",124,130,38.5,263,6.719362,51.326078,"2",127
"SPE2",2003,"11-05","17-05",131,137,26.2,264,6.719362,51.326078,"2",134
"SPE2",2003,"18-05","24-05",138,144,18.4,265,6.719362,51.326078,"2",141
"SPE2",2003,"25-05","31-05",145,151,26.3,266,6.719362,51.326078,"2",148
"SPE2",2003,"01-06","07-06",152,158,44.7,267,6.719362,51.326078,"2",155
"SPE2",2003,"08-06","14-06",159,165,82.1,268,6.719362,51.326078,"2",162
"SPE2",2003,"15-06","21-06",166,172,54.9,269,6.719362,51.326078,"2",169
"SPE2",2003,"22-06","28-06",173,179,50.5,270,6.719362,51.326078,"2",176
"SPE2",2003,"29-06","05-07",180,186,46,271,6.719362,51.326078,"2",183
"SPE2",2003,"06-07","12-07",187,193,44,272,6.719362,51.326078,"2",190
"SPE2",2003,"13-07","19-07",194,200,42.3,273,6.719362,51.326078,"2",197
"SPE2",2003,"20-07","26-07",201,207,38.2,274,6.719362,51.326078,"2",204
"SPE2",2003,"27-07","02-08",208,214,39.6,275,6.719362,51.326078,"2",211
"SPE2",2003,"03-08","09-08",215,221,52.1,276,6.719362,51.326078,"2",218
"SPE2",2003,"10-08","16-08",222,228,27.2,277,6.719362,51.326078,"2",225
"SPE2",2003,"17-08","23-08",229,235,30.8,278,6.719362,51.326078,"2",232
"SPE2",2003,"24-08","30-08",236,242,28.6,279,6.719362,51.326078,"2",239
"SPE2",2003,"31-08","06-09",243,249,18.9,280,6.719362,51.326078,"2",246
"SPE2",2003,"07-09","13-09",250,256,16,281,6.719362,51.326078,"2",253
"SPE2",2003,"14-09","20-09",257,263,19.4,282,6.719362,51.326078,"2",260
"SPE2",2003,"21-09","27-09",264,270,14.1,283,6.719362,51.326078,"2",267
"SPE2",2003,"28-09","04-10",271,277,5.1,284,6.719362,51.326078,"2",274
"SPE2",2003,"05-10","12-10",278,285,4.9,285,6.719362,51.326078,"2",281.5
"HUK1",2004,"04-04","17-04",94,107,18.4,286,6.628919,51.632269,"2",100.5
"HUK1",2004,"18-04","01-05",108,121,21.1,287,6.628919,51.632269,"2",114.5
"HUK1",2004,"02-05","15-05",122,135,31.1,288,6.628919,51.632269,"2",128.5
"HUK1",2004,"16-05","22-05",136,142,32.4,289,6.628919,51.632269,"2",139
"HUK1",2004,"23-05","29-05",143,149,32.9,290,6.628919,51.632269,"2",146
"HUK1",2004,"30-05","05-06",150,156,33.7,291,6.628919,51.632269,"2",153
"HUK1",2004,"06-06","12-06",157,163,49.5,292,6.628919,51.632269,"2",160
"HUK1",2004,"13-06","19-06",164,170,56.2,293,6.628919,51.632269,"2",167
"HUK1",2004,"20-06","26-06",171,177,53.8,294,6.628919,51.632269,"2",174
"HUK1",2004,"27-06","03-07",178,184,49.5,295,6.628919,51.632269,"2",181
"HUK1",2004,"04-07","10-07",185,191,45.3,296,6.628919,51.632269,"2",188
"HUK1",2004,"11-07","17-07",192,198,43.4,297,6.628919,51.632269,"2",195
"HUK1",2004,"18-07","24-07",199,205,47,298,6.628919,51.632269,"2",202
"HUK1",2004,"25-07","31-07",206,212,47.4,299,6.628919,51.632269,"2",209
"HUK1",2004,"01-08","07-08",213,219,34.7,300,6.628919,51.632269,"2",216
"HUK1",2004,"08-08","14-08",220,226,76,301,6.628919,51.632269,"2",223
"HUK1",2004,"15-08","21-08",227,233,31.3,302,6.628919,51.632269,"2",230
"HUK1",2004,"22-08","28-08",234,240,27.1,303,6.628919,51.632269,"2",237
"HUK1",2004,"29-08","04-09",241,247,25.8,304,6.628919,51.632269,"2",244
"HUK1",2004,"05-09","11-09",248,254,28.1,305,6.628919,51.632269,"2",251
"HUK1",2004,"12-09","25-09",255,268,41.2,306,6.628919,51.632269,"2",261.5
"HUK1",2004,"26-09","09-10",269,282,17.2,307,6.628919,51.632269,"2",275.5
"HUK1",2004,"10-10","24-10",283,297,8.7,308,6.628919,51.632269,"2",290
"XAN1",2005,"15-04","29-04",105,119,32.8,309,6.443367,51.66906,"2",112
"XAN1",2005,"30-04","14-05",120,134,37.1,310,6.443367,51.66906,"2",127
"XAN1",2005,"15-05","28-05",135,148,31.2,311,6.443367,51.66906,"2",141.5
"XAN1",2005,"29-05","10-06",149,161,61.9,312,6.443367,51.66906,"2",155
"XAN1",2005,"11-06","26-06",162,177,89.6,313,6.443367,51.66906,"2",169.5
"XAN1",2005,"27-06","06-08",178,218,NA,314,6.443367,51.66906,"2",198
"XAN1",2005,"07-08","21-08",219,233,101.8,315,6.443367,51.66906,"2",226
"XAN1",2005,"22-08","01-09",234,244,68.4,316,6.443367,51.66906,"2",239
"XAN1",2005,"02-09","14-09",245,257,58,317,6.443367,51.66906,"2",251
